station,eval_year,date,dap,sim_day,bc_two_stage_irrigation_00609,bc_two_stage_n_00609,ft0_irrigation_00610,ft0_n_00610,expert_schedule_irrigation,expert_schedule_n,irrigation_diff,n_diff,is_event_day,notes
HLA,2011,2011-07-14,67.0,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-07-15,68.0,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-07-16,69.0,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-07-17,70.0,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-07-18,71.0,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-07-19,72.0,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-07-20,73.0,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-07-21,74.0,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-07-22,75.0,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-07-23,76.0,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-07-24,77.0,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-07-25,78.0,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-07-26,79.0,83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-07-27,80.0,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-07-28,81.0,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-07-29,82.0,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-07-30,83.0,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-07-31,84.0,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-08-01,85.0,89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-08-02,86.0,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-08-03,87.0,91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-08-04,88.0,92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-08-05,89.0,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-08-06,90.0,94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-08-07,91.0,95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-08-08,92.0,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-08-09,93.0,97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-08-10,94.0,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-08-11,95.0,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-08-12,96.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-08-13,97.0,101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-08-14,98.0,102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-08-15,99.0,103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-08-16,100.0,104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-08-17,101.0,105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-08-18,102.0,106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-08-19,103.0,107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-08-20,104.0,108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-08-21,105.0,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-08-22,106.0,110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-08-23,107.0,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-08-24,108.0,112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-08-25,109.0,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-08-26,110.0,114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-08-27,111.0,115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-08-28,112.0,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-08-29,113.0,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-08-30,114.0,118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-08-31,115.0,119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-09-01,116.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-09-02,117.0,121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-09-03,118.0,122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-09-04,119.0,123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-09-05,120.0,124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-09-06,121.0,125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-09-07,122.0,126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-09-08,123.0,127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-09-09,124.0,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-09-10,125.0,129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-09-11,126.0,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-09-12,127.0,131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-09-13,128.0,132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-09-14,129.0,133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-09-15,130.0,134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-09-16,131.0,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-09-17,132.0,136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-09-18,133.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-09-19,134.0,138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-09-20,135.0,139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-09-21,136.0,140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-09-22,137.0,141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-09-23,138.0,142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-09-24,139.0,143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-09-25,140.0,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-09-26,141.0,145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-09-27,142.0,146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-09-28,143.0,147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-09-29,144.0,148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-09-30,145.0,149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-10-01,146.0,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-10-02,147.0,151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-10-03,148.0,152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-10-04,149.0,153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-10-05,150.0,154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-10-06,151.0,155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-10-07,152.0,156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-10-08,153.0,157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-10-09,154.0,158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-10-10,155.0,159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-10-11,156.0,160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-10-12,157.0,161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-10-13,158.0,162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-10-14,159.0,163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-10-15,160.0,164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-10-16,161.0,165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-10-17,162.0,166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-10-18,163.0,167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-10-19,164.0,168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-10-20,164.0,169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
SYA,2012,2012-04-28,0.0,1,0.0,138.5,0.0,0.0,0.0,138.5,0.0,-138.5,True,anfer_dap_range
