station,year,policy_type,policy_name,final_grnwt,total_irrigation,total_n_fertilizer,profit_score,mean_swfac,mean_nstres,yield_loss_vs_ppo,input_reduction_vs_ppo,notes
SYA,2014,constrained_ppo_finetune,FT2_residual_bc_prior,6689.056396484375,108.07995796203613,75.16652941703796,-5.941047370433807,0.0,0.12938492827945286,0.027169673446938724,0.7363483707110088,constrained_ppo_eval
SYA,2015,constrained_ppo_finetune,FT2_residual_bc_prior,6317.073974609375,106.92481994628906,76.33052468299866,-9.374301397800444,0.0,0.11814611441605574,0.0812693490207385,0.7369802726639642,constrained_ppo_eval
LCA,2010,constrained_ppo_finetune,FT2_residual_bc_prior,6472.803955078125,0.0,80.66837191581726,44.56094657182693,0.0,0.09879255813101064,0.058620586807709395,0.910368475649092,constrained_ppo_eval
LCA,2011,constrained_ppo_finetune,FT2_residual_bc_prior,6925.1654052734375,0.0,77.50813066959381,49.87462138533593,0.0,0.12881354549351862,-0.00716910178645676,0.9138798548115624,constrained_ppo_eval
LCA,2008,constrained_ppo_finetune,FT2_residual_bc_prior,7482.393798828125,0.0,78.42366695404053,55.21802124977113,0.0,0.12892541658310663,-0.08821023045018796,0.9128625922732883,constrained_ppo_eval
LCA,2009,constrained_ppo_finetune,FT2_residual_bc_prior,7060.894775390625,0.0,80.1852434873581,50.56263688206673,0.0,0.1213911725025551,-0.026909053078143147,0.9109052850140466,constrained_ppo_eval
HLA,2011,constrained_ppo_finetune,FT3_budget_guardrail_100_200,6321.763916015625,100.0,200.0,-36.78236083984375,0.0,0.12040342205374904,0.08058726219722855,0.6111111111111112,constrained_ppo_eval
HLA,2007,constrained_ppo_finetune,FT3_budget_guardrail_100_200,7156.4239501953125,100.0,200.0,-28.435760498046875,0.0,0.06423507040779063,-0.04080244443442362,0.6111111111111112,constrained_ppo_eval
HLA,2009,constrained_ppo_finetune,FT3_budget_guardrail_100_200,6695.1611328125,100.0,200.0,-33.048388671875,0.0,0.16247095411303658,0.026281824356784313,0.6111111111111112,constrained_ppo_eval
SYA,2012,constrained_ppo_finetune,FT3_budget_guardrail_100_200,9828.40576171875,100.0,200.0,-1.7159423828125,0.0,0.0177202719229239,-0.4294050789725876,0.6111111111111112,constrained_ppo_eval
SYA,2014,constrained_ppo_finetune,FT3_budget_guardrail_100_200,10019.925537109375,100.0,200.0,0.19925537109375568,0.036315515637397766,0.04206884735160404,-0.4572589696547703,0.6111111111111112,constrained_ppo_eval
SYA,2015,constrained_ppo_finetune,FT3_budget_guardrail_100_200,10186.150512695312,100.0,200.0,1.8615051269531335,0.0,0.03790301959831398,-0.4814340831080719,0.6111111111111112,constrained_ppo_eval
LCA,2010,constrained_ppo_finetune,FT3_budget_guardrail_100_200,8077.5537109375,100.0,200.0,-19.22446289062499,0.0,0.0002987663383069246,-0.17476797153201815,0.6111111111111112,constrained_ppo_eval
LCA,2011,constrained_ppo_finetune,FT3_budget_guardrail_100_200,9056.504516601562,100.0,200.0,-9.434954833984378,0.0,0.0005293447597354066,-0.317142766346738,0.6111111111111112,constrained_ppo_eval
LCA,2008,constrained_ppo_finetune,FT3_budget_guardrail_100_200,9195.918579101562,100.0,200.0,-8.040814208984372,0.0,0.00027936526707240516,-0.33741860495668696,0.6111111111111112,constrained_ppo_eval
LCA,2009,constrained_ppo_finetune,FT3_budget_guardrail_100_200,9036.378173828125,100.0,200.0,-9.636218261718753,0.0,0.00024068121816597733,-0.31421566939134493,0.6111111111111112,constrained_ppo_eval
