schedule_id,station,train_year,total_N,total_irrigation,N1_DAP,N1_amount,N2_DAP,N2_amount,N3_DAP,N3_amount,I1_DAP,I1_amount,I2_DAP,I2_amount,I3_DAP,I3_amount
SYA2012_S0147,SYA,2012,225.0,200.0,1,0.0,30,75.0,60,150.0,25,50.0,50,100.0,75,50.0
SYA2012_S0148,SYA,2012,225.0,250.0,1,0.0,30,75.0,60,150.0,25,50.0,50,100.0,75,100.0
SYA2012_S0149,SYA,2012,225.0,100.0,1,0.0,30,75.0,60,150.0,25,100.0,50,0.0,75,0.0
SYA2012_S0150,SYA,2012,225.0,150.0,1,0.0,30,75.0,60,150.0,25,100.0,50,0.0,75,50.0
SYA2012_S0151,SYA,2012,225.0,200.0,1,0.0,30,75.0,60,150.0,25,100.0,50,0.0,75,100.0
SYA2012_S0152,SYA,2012,225.0,150.0,1,0.0,30,75.0,60,150.0,25,100.0,50,50.0,75,0.0
SYA2012_S0153,SYA,2012,225.0,200.0,1,0.0,30,75.0,60,150.0,25,100.0,50,50.0,75,50.0
SYA2012_S0154,SYA,2012,225.0,250.0,1,0.0,30,75.0,60,150.0,25,100.0,50,50.0,75,100.0
SYA2012_S0155,SYA,2012,225.0,200.0,1,0.0,30,75.0,60,150.0,25,100.0,50,100.0,75,0.0
SYA2012_S0156,SYA,2012,225.0,250.0,1,0.0,30,75.0,60,150.0,25,100.0,50,100.0,75,50.0
SYA2012_S0157,SYA,2012,150.0,0.0,1,0.0,30,150.0,60,0.0,25,0.0,50,0.0,75,0.0
SYA2012_S0158,SYA,2012,150.0,50.0,1,0.0,30,150.0,60,0.0,25,0.0,50,0.0,75,50.0
SYA2012_S0159,SYA,2012,150.0,100.0,1,0.0,30,150.0,60,0.0,25,0.0,50,0.0,75,100.0
SYA2012_S0160,SYA,2012,150.0,50.0,1,0.0,30,150.0,60,0.0,25,0.0,50,50.0,75,0.0
SYA2012_S0161,SYA,2012,150.0,100.0,1,0.0,30,150.0,60,0.0,25,0.0,50,50.0,75,50.0
SYA2012_S0162,SYA,2012,150.0,150.0,1,0.0,30,150.0,60,0.0,25,0.0,50,50.0,75,100.0
SYA2012_S0163,SYA,2012,150.0,100.0,1,0.0,30,150.0,60,0.0,25,0.0,50,100.0,75,0.0
SYA2012_S0164,SYA,2012,150.0,150.0,1,0.0,30,150.0,60,0.0,25,0.0,50,100.0,75,50.0
SYA2012_S0165,SYA,2012,150.0,200.0,1,0.0,30,150.0,60,0.0,25,0.0,50,100.0,75,100.0
SYA2012_S0166,SYA,2012,150.0,50.0,1,0.0,30,150.0,60,0.0,25,50.0,50,0.0,75,0.0
SYA2012_S0167,SYA,2012,150.0,100.0,1,0.0,30,150.0,60,0.0,25,50.0,50,0.0,75,50.0
SYA2012_S0168,SYA,2012,150.0,150.0,1,0.0,30,150.0,60,0.0,25,50.0,50,0.0,75,100.0
SYA2012_S0169,SYA,2012,150.0,100.0,1,0.0,30,150.0,60,0.0,25,50.0,50,50.0,75,0.0
