schedule_id,station,train_year,total_N,total_irrigation,N1_DAP,N1_amount,N2_DAP,N2_amount,N3_DAP,N3_amount,I1_DAP,I1_amount,I2_DAP,I2_amount,I3_DAP,I3_amount
LCA2010_S0143,LCA,2010,225.0,100.0,1,0.0,30,75.0,60,150.0,25,50.0,50,50.0,75,0.0
LCA2010_S0144,LCA,2010,225.0,150.0,1,0.0,30,75.0,60,150.0,25,50.0,50,50.0,75,50.0
LCA2010_S0145,LCA,2010,225.0,200.0,1,0.0,30,75.0,60,150.0,25,50.0,50,50.0,75,100.0
LCA2010_S0146,LCA,2010,225.0,150.0,1,0.0,30,75.0,60,150.0,25,50.0,50,100.0,75,0.0
LCA2010_S0147,LCA,2010,225.0,200.0,1,0.0,30,75.0,60,150.0,25,50.0,50,100.0,75,50.0
LCA2010_S0148,LCA,2010,225.0,250.0,1,0.0,30,75.0,60,150.0,25,50.0,50,100.0,75,100.0
LCA2010_S0149,LCA,2010,225.0,100.0,1,0.0,30,75.0,60,150.0,25,100.0,50,0.0,75,0.0
LCA2010_S0150,LCA,2010,225.0,150.0,1,0.0,30,75.0,60,150.0,25,100.0,50,0.0,75,50.0
LCA2010_S0151,LCA,2010,225.0,200.0,1,0.0,30,75.0,60,150.0,25,100.0,50,0.0,75,100.0
LCA2010_S0152,LCA,2010,225.0,150.0,1,0.0,30,75.0,60,150.0,25,100.0,50,50.0,75,0.0
LCA2010_S0153,LCA,2010,225.0,200.0,1,0.0,30,75.0,60,150.0,25,100.0,50,50.0,75,50.0
LCA2010_S0154,LCA,2010,225.0,250.0,1,0.0,30,75.0,60,150.0,25,100.0,50,50.0,75,100.0
LCA2010_S0155,LCA,2010,225.0,200.0,1,0.0,30,75.0,60,150.0,25,100.0,50,100.0,75,0.0
LCA2010_S0156,LCA,2010,225.0,250.0,1,0.0,30,75.0,60,150.0,25,100.0,50,100.0,75,50.0
LCA2010_S0157,LCA,2010,150.0,0.0,1,0.0,30,150.0,60,0.0,25,0.0,50,0.0,75,0.0
LCA2010_S0158,LCA,2010,150.0,50.0,1,0.0,30,150.0,60,0.0,25,0.0,50,0.0,75,50.0
LCA2010_S0159,LCA,2010,150.0,100.0,1,0.0,30,150.0,60,0.0,25,0.0,50,0.0,75,100.0
LCA2010_S0160,LCA,2010,150.0,50.0,1,0.0,30,150.0,60,0.0,25,0.0,50,50.0,75,0.0
LCA2010_S0161,LCA,2010,150.0,100.0,1,0.0,30,150.0,60,0.0,25,0.0,50,50.0,75,50.0
LCA2010_S0162,LCA,2010,150.0,150.0,1,0.0,30,150.0,60,0.0,25,0.0,50,50.0,75,100.0
LCA2010_S0163,LCA,2010,150.0,100.0,1,0.0,30,150.0,60,0.0,25,0.0,50,100.0,75,0.0
LCA2010_S0164,LCA,2010,150.0,150.0,1,0.0,30,150.0,60,0.0,25,0.0,50,100.0,75,50.0
LCA2010_S0165,LCA,2010,150.0,200.0,1,0.0,30,150.0,60,0.0,25,0.0,50,100.0,75,100.0
LCA2010_S0166,LCA,2010,150.0,50.0,1,0.0,30,150.0,60,0.0,25,50.0,50,0.0,75,0.0
LCA2010_S0167,LCA,2010,150.0,100.0,1,0.0,30,150.0,60,0.0,25,50.0,50,0.0,75,50.0
LCA2010_S0168,LCA,2010,150.0,150.0,1,0.0,30,150.0,60,0.0,25,50.0,50,0.0,75,100.0
LCA2010_S0169,LCA,2010,150.0,100.0,1,0.0,30,150.0,60,0.0,25,50.0,50,50.0,75,0.0
LCA2010_S0170,LCA,2010,150.0,150.0,1,0.0,30,150.0,60,0.0,25,50.0,50,50.0,75,50.0
LCA2010_S0171,LCA,2010,150.0,200.0,1,0.0,30,150.0,60,0.0,25,50.0,50,50.0,75,100.0
LCA2010_S0172,LCA,2010,150.0,150.0,1,0.0,30,150.0,60,0.0,25,50.0,50,100.0,75,0.0
LCA2010_S0173,LCA,2010,150.0,200.0,1,0.0,30,150.0,60,0.0,25,50.0,50,100.0,75,50.0
LCA2010_S0174,LCA,2010,150.0,250.0,1,0.0,30,150.0,60,0.0,25,50.0,50,100.0,75,100.0
